SA2_2023_V1_00_Origin_CODE,SA2_2023_V1_00_Origin_NAME,SA2_2023_V1_00_Destination_CODE,SA2_2023_V1_00_Destination_NAME,work_2018_Work_at_home,work_2018_Drive_a_private_car_truck_or_van,work_2018_Drive_a_company_car_truck_or_van,work_2018_Passenger_in_a_car_truck_van_or_company_bus,work_2018_Public_bus,work_2018_Train,work_2018_Bicycle,work_2018_Walk_or_jog,work_2018_Ferry,work_2018_Other,work_2018_Total_stated,work_2023_Work_at_home,work_2023_Drive_a_private_car_truck_or_van,work_2023_Drive_a_company_car_truck_or_van,work_2023_Passenger_in_a_car_truck_van_or_company_bus,work_2023_Public_bus,work_2023_Train,work_2023_Bicycle,work_2023_Walk_or_jog,work_2023_Ferry,work_2023_Other,work_2023_Total_stated
100800,Kaitaia West,102501,Waipapa,0,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6
100800,Kaitaia West,103000,Kerikeri Central,0,15,0,0,0,0,0,0,0,0,21,0,9,0,0,0,0,0,0,0,0,9
100800,Kaitaia West,103501,Kaikohe,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
100800,Kaitaia West,104600,Kawakawa,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100800,Kaitaia West,107100,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
100900,Rangitihi,100200,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,12
100900,Rangitihi,100500,Tangonge,0,9,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,15
100900,Rangitihi,100700,Kaitaia East,0,102,27,6,0,0,0,0,0,0,138,0,132,33,6,0,0,0,0,0,0,171
100900,Rangitihi,100800,Kaitaia West,0,36,0,0,0,0,0,0,0,0,42,0,45,0,0,0,0,0,0,0,0,51
100900,Rangitihi,100900,Rangitihi,81,12,0,0,0,0,0,0,0,0,99,111,15,0,0,0,0,0,0,0,0,132
100900,Rangitihi,101101,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100900,Rangitihi,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101000,Oruru-Parapara,100200,Rangaunu Harbour,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
101000,Oruru-Parapara,100700,Kaitaia East,0,21,0,0,0,0,0,0,0,0,27,0,30,9,0,0,0,0,0,0,0,42
101000,Oruru-Parapara,100800,Kaitaia West,0,18,0,0,0,0,0,0,0,0,24,0,21,0,0,0,0,0,0,0,0,24
101000,Oruru-Parapara,101000,Oruru-Parapara,75,15,0,0,0,0,0,0,0,0,99,117,15,0,0,0,0,0,0,0,0,138
101000,Oruru-Parapara,101101,Doubtless Bay,0,45,9,0,0,0,0,0,0,0,60,0,45,9,0,0,0,0,0,0,0,57
101000,Oruru-Parapara,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101101,Doubtless Bay,100200,Rangaunu Harbour,0,18,0,0,0,0,0,0,0,0,24,0,9,0,0,0,0,0,0,0,0,21
101101,Doubtless Bay,100400,Karikari Peninsula,0,9,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,15
101101,Doubtless Bay,100500,Tangonge,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101101,Doubtless Bay,100700,Kaitaia East,0,48,18,0,0,0,0,0,0,0,72,0,66,30,0,0,0,0,0,0,0,99
101101,Doubtless Bay,100800,Kaitaia West,0,33,0,0,0,0,0,0,0,0,36,0,57,0,0,0,0,0,0,0,0,60
101101,Doubtless Bay,100900,Rangitihi,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
101101,Doubtless Bay,101000,Oruru-Parapara,0,12,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,6
101101,Doubtless Bay,101101,Doubtless Bay,159,147,15,18,0,0,0,21,0,0,366,270,165,27,9,0,0,0,21,0,0,501
101101,Doubtless Bay,101400,Taemaro-Oruaiti,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15
101101,Doubtless Bay,101500,Whakapaku,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
101101,Doubtless Bay,101801,Whakarara,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101101,Doubtless Bay,101900,Kaeo,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12
101101,Doubtless Bay,102501,Waipapa,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
101101,Doubtless Bay,103000,Kerikeri Central,0,15,6,0,0,0,0,0,0,0,24,0,15,0,0,0,0,0,0,0,0,21
101101,Doubtless Bay,107100,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
101200,Herekino-Takahue,100200,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,9
101200,Herekino-Takahue,100500,Tangonge,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
101200,Herekino-Takahue,100700,Kaitaia East,0,66,21,6,0,0,0,0,0,0,93,0,87,21,0,0,0,0,0,0,0,111
101200,Herekino-Takahue,100800,Kaitaia West,0,30,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,42
101200,Herekino-Takahue,100900,Rangitihi,0,6,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,12
101200,Herekino-Takahue,101200,Herekino-Takahue,105,18,0,0,0,0,0,0,0,0,126,147,12,0,0,0,0,0,0,0,0,162
101200,Herekino-Takahue,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101300,Peria,100200,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,12
101300,Peria,100500,Tangonge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
