SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_workplace_address,SA2_name_workplace_address,SA2_workplace_easting,SA2_workplace_northing,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
209800,Mahora,1930380.747,5606885.436,212900,Ahuriri,1935244.144,5622396.15,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
213900,Marewa West,1935027.321,5620573.27,214100,Onekawa Central,1934385.153,5619845.638,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
159100,Homai East,1767740.056,5901987.526,164300,Drury,1772088.761,5891605.853,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
227800,Taikorea,1803316.196,5529694.545,227400,Oroua Downs,1794599.991,5533286.764,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
362900,Kingswell,1244442.701,4846530.938,362000,Crinan,1243189.967,4848649.134,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
253000,Newtown West,1748665.734,5424986.454,255000,Rongotai,1751437.442,5422945.519,-999,18,-999,-999,9,-999,-999,-999,-999,-999,39
300900,Upper Moutere,1587558.857,5433551.305,303200,Templemore,1617083.528,5423309.468,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
255500,Opaki,1824017.586,5468689.97,255900,Masterton Central,1824029.553,5463329.275,-999,114,24,9,-999,-999,-999,-999,-999,-999,147
314900,Rangiora South East,1568398.668,5204807.85,313900,Rangiora North West,1565070.825,5206055.977,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
347000,Wanaka Central,1295002.51,5042583.874,348400,Frankton,1264814.562,5006211.602,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
163400,Karaka Lakes,1771229.828,5894010.342,148200,Favona North,1761068.3,5909234.2,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
195200,Greerton North,1876519.241,5819517.119,196700,Welcome Bay East,1882870.875,5820367.754,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
107500,Morningside (Whangarei District),1719371.649,6044486.121,105900,Granfield Reserve,1717178.609,6049644.807,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18
102200,Lake Manuwai-Kapiro,1678789.755,6106356.023,100700,Kaitaia East,1624073.029,6115410.045,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
196300,Kaitemako (Tauranga City),1879924.539,5818324.43,196600,Welcome Bay West,1880691.068,5819245.058,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
218900,Waitara East,1707720.356,5683006.448,218500,Waitara West,1706214.202,5682785.207,-999,138,15,15,-999,-999,-999,-999,-999,-999,177
121800,Beach Haven West,1750442.054,5926733.67,137700,Mount Eden North East,1757367.574,5918190.189,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
146100,Mangere Bridge Ambury,1757491.486,5909456.292,149600,Otahuhu Industrial,1762760.644,5909094.333,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
215000,Marewa East,1935913.619,5619613.861,214500,Nelson Park,1936068.831,5620699.752,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
164600,Drury Rural,1775457.514,5890855.121,133300,Quay Street-Customs Street,1758388.036,5920736.217,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
225800,Gonville South,1773760.122,5576043.71,225500,Whanganui East-Riverlands,1776157.519,5578886.859,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
250300,Wadestown,1748751.061,5430611.918,245100,Epuni West,1761589.636,5436613.056,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
119100,Greenhithe East,1750778.843,5929965.289,147900,Auckland Airport,1757873.858,5904865.704,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,24
147100,Panmure East,1765747.069,5914351.318,157600,Wiri West,1765702.429,5902587.403,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,27
305400,Maitlands,1620342.578,5426939.339,304100,Tahunanui,1620191.219,5429633.157,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18
328700,Sydenham West,1570368.601,5177945.369,317500,Russley,1564307.123,5184300.776,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18
340000,Gleniti South,1456329.844,5083927.827,341300,Parkside,1460359.706,5081681.946,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30
200800,Glenholme South,1884568.269,5772156.081,200500,Glenholme North,1884461.046,5772848.632,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15
243600,Belmont (Lower Hutt City),1761118.149,5438363.846,251600,Dixon Street,1748599.29,5427417.325,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,21
242600,Maoribank,1777072.994,5447303.462,245400,Naenae Central,1763469.753,5437237.304,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
239100,Titahi Bay North,1754845.865,5448652.484,239800,Paremata,1756791.842,5448587.872,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
327900,Linwood West,1572447.697,5180296.812,328400,Wainoni,1574931.573,5181562.689,-999,18,6,-999,-999,-999,-999,-999,-999,-999,30
335600,Trents,1556806.38,5172922.368,334800,Rolleston Izone,1549219.431,5174137.281,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18
167600,Thames North,1826155.394,5887501.244,167700,Thames Central,1825730.439,5886537.203,-999,144,36,-999,-999,-999,9,39,-999,-999,237
234800,Ohau-Manakau,1786505.604,5492327.677,250900,Thorndon,1748602.204,5429478.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
176700,St James,1801246.767,5821050.953,179700,Hamilton East Village,1801926.499,5814976.268,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,36
326900,Spreydon West,1568058.258,5177697.239,322200,Rutland,1569498.663,5182867.147,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
353300,Mornington,1404784.488,4915579.85,354800,St Clair,1404233.83,4912313.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
158300,Hilltop (Auckland),1769781.319,5905011.033,133200,Queen Street,1757384.655,5920563.801,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18
302900,Ben Cooper Park,1614715.394,5422919.382,304700,Nelson Central-Trafalgar,1623627.722,5430927.274,-999,60,12,-999,-999,-999,-999,-999,-999,-999,78
208000,Puketitiri-Tutira,1914618.744,5654984.821,212800,Onekawa West,1933849.636,5620868.478,-999,21,15,-999,-999,-999,-999,-999,-999,-999,39
123800,Ranui Domain,1742997.508,5918802.454,129500,Glendene South,1747385.614,5915285.841,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
155600,Papatoetoe East,1766768.477,5906551.69,144200,Ellerslie West,1760921.739,5914811.859,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27
215100,Onekawa South,1934578.089,5618683.246,212800,Onekawa West,1933849.636,5620868.478,-999,114,33,9,-999,-999,-999,-999,-999,-999,165
115500,Coatesville,1746755.01,5934629.088,145900,Penrose,1762344.246,5912451.073,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18
129000,Sunnyvale West-Parrs Park,1745284.332,5914567.196,126600,Takapuna West,1757140.757,5927075.413,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,18
139200,Orakei West,1761823.879,5919443.754,133300,Quay Street-Customs Street,1758388.036,5920736.217,-999,24,-999,-999,18,-999,-999,-999,-999,-999,54
141000,Remuera South,1759984.442,5916442.842,126800,Takapuna Central,1757895.959,5927847.675,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
133600,Morningside (Auckland),1754366.581,5917801.772,130200,Saint Marys Bay,1755742.138,5921373.412,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
215200,McLean Park,1936712.332,5619487.193,208400,Omahu-Pakowhai,1928193.758,5613369.921,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
338200,Tinwald South,1497104.479,5135682.221,337000,Ealing-Lowcliffe,1479605.302,5122968.599,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
